"measure","tp","est","SE","df","t.value","p.value","sig"
"MTSRFAMD","tp(A7):boundlessMean",6.3,3.55,30,1.77,"0.086",""
"MTSRFAMD","tp(B7):boundlessMean",1.56,3.55,30,0.44,"0.663",""
"MTSRFAMD","tp(B30):boundlessMean",4.2,3.55,30,1.18,"0.246",""
"MTSRFAMD","(Intercept)",2059.59,497.32,13.2,4.14,"0.001","**"
"MTSRFAMD","tp(A7)",31.48,295,30,0.11,"0.916",""
"MTSRFAMD","tp(B7)",53.63,295,30,0.18,"0.857",""
"MTSRFAMD","tp(B30)",-274.54,295,30,-0.93,"0.359",""
"MTSRFAMD","anxiousEgoMean",17.93,15.77,13.2,1.14,"0.276",""
"MTSRFAMD","tp(A7):anxiousEgoMean",-2.85,9.35,30,-0.3,"0.763",""
"MTSRFAMD","tp(B7):anxiousEgoMean",-12.23,9.35,30,-1.31,"0.201",""
"MTSRFAMD","tp(B30):anxiousEgoMean",-1.26,9.35,30,-0.13,"0.894",""
"MTSRFAMD","(Intercept)",2710.03,662.99,13.1,4.09,"0.001","**"
"MTSRFAMD","tp(A7)",-236.33,388.94,30,-0.61,"0.548",""
"MTSRFAMD","tp(B7)",-423.3,388.94,30,-1.09,"0.285",""
"MTSRFAMD","tp(B30)",-371.31,388.94,30,-0.95,"0.347",""
"MTSRFAMD","visionaryMean",-2.08,10.93,13.1,-0.19,"0.852",""
"MTSRFAMD","tp(A7):visionaryMean",3.15,6.41,30,0.49,"0.627",""
"MTSRFAMD","tp(B7):visionaryMean",1.99,6.41,30,0.31,"0.758",""
"MTSRFAMD","tp(B30):visionaryMean",1.02,6.41,30,0.16,"0.874",""
"OTSMDLFC","(Intercept)",11003.71,3567.95,27.3,3.08,"0.005","**"
"OTSMDLFC","tp(A7)",1498.87,3931.42,30,0.38,"0.706",""
"OTSMDLFC","tp(B7)",2231.27,3931.42,30,0.57,"0.575",""
"OTSMDLFC","tp(B30)",7768.17,3931.42,30,1.98,"0.057",""
"OTSMDLFC","boundlessMean",20.99,53.62,27.3,0.39,"0.699",""
"OTSMDLFC","tp(A7):boundlessMean",29.8,59.08,30,0.5,"0.618",""
"OTSMDLFC","tp(B7):boundlessMean",-27.27,59.08,30,-0.46,"0.648",""
"OTSMDLFC","tp(B30):boundlessMean",-119.93,59.08,30,-2.03,"0.051",""
"OTSMDLFC","(Intercept)",10247.97,4417.4,28.4,2.32,"0.028","*"
"OTSMDLFC","tp(A7)",11974.53,4960.52,30,2.41,"0.022","*"
"OTSMDLFC","tp(B7)",692.45,4960.52,30,0.14,"0.890",""
"OTSMDLFC","tp(B30)",2561.03,4960.52,30,0.52,"0.609",""
"OTSMDLFC","anxiousEgoMean",68.32,140.03,28.4,0.49,"0.629",""
"OTSMDLFC","tp(A7):anxiousEgoMean",-294.44,157.25,30,-1.87,"0.071",""
"OTSMDLFC","tp(B7):anxiousEgoMean",-3.33,157.25,30,-0.02,"0.983",""
"OTSMDLFC","tp(B30):anxiousEgoMean",-67.55,157.25,30,-0.43,"0.671",""
"OTSMDLFC","(Intercept)",11484.74,5495.32,28.6,2.09,"0.046","*"
"OTSMDLFC","tp(A7)",1955.96,6198.49,30,0.32,"0.755",""
"OTSMDLFC","tp(B7)",5843.98,6198.49,30,0.94,"0.353",""
"OTSMDLFC","tp(B30)",12773.26,6198.49,30,2.06,"0.048","*"
"OTSMDLFC","visionaryMean",13.36,90.58,28.6,0.15,"0.884",""
"OTSMDLFC","tp(A7):visionaryMean",22.84,102.17,30,0.22,"0.825",""
"OTSMDLFC","tp(B7):visionaryMean",-90.05,102.17,30,-0.88,"0.385",""
"OTSMDLFC","tp(B30):visionaryMean",-209.34,102.17,30,-2.05,"0.049","*"
"OTSPSFC","(Intercept)",10.06,1.95,22.7,5.15,"<0.001","***"
"OTSPSFC","tp(A7)",-0.33,1.94,30,-0.17,"0.865",""
"OTSPSFC","tp(B7)",-0.91,1.94,30,-0.47,"0.643",""
"OTSPSFC","tp(B30)",0.87,1.94,30,0.45,"0.656",""
"OTSPSFC","boundlessMean",0,0.03,22.7,-0.13,"0.901",""
"OTSPSFC","tp(A7):boundlessMean",-0.01,0.03,30,-0.19,"0.850",""
"OTSPSFC","tp(B7):boundlessMean",0.01,0.03,30,0.42,"0.674",""
"OTSPSFC","tp(B30):boundlessMean",-0.02,0.03,30,-0.59,"0.557",""
"OTSPSFC","(Intercept)",10.52,2.39,22.9,4.4,"<0.001","***"
"OTSPSFC","tp(A7)",-0.58,2.4,30,-0.24,"0.809",""
"OTSPSFC","tp(B7)",-0.66,2.4,30,-0.28,"0.785",""
"OTSPSFC","tp(B30)",-1.32,2.4,30,-0.55,"0.587",""
"OTSPSFC","anxiousEgoMean",-0.02,0.08,22.9,-0.31,"0.762",""
"OTSPSFC","tp(A7):anxiousEgoMean",0,0.08,30,-0.04,"0.971",""
"OTSPSFC","tp(B7):anxiousEgoMean",0.02,0.08,30,0.22,"0.827",""
"OTSPSFC","tp(B30):anxiousEgoMean",0.04,0.08,30,0.51,"0.612",""
"OTSPSFC","(Intercept)",8.88,3.04,22.2,2.92,"0.008","**"
"OTSPSFC","tp(A7)",-1.44,2.99,30,-0.48,"0.634",""
"OTSPSFC","tp(B7)",1.43,2.99,30,0.48,"0.636",""
"OTSPSFC","tp(B30)",2.78,2.99,30,0.93,"0.359",""
"OTSPSFC","visionaryMean",0.02,0.05,22.2,0.33,"0.747",""
"OTSPSFC","tp(A7):visionaryMean",0.01,0.05,30,0.27,"0.790",""
"OTSPSFC","tp(B7):visionaryMean",-0.03,0.05,30,-0.56,"0.583",""
"OTSPSFC","tp(B30):visionaryMean",-0.05,0.05,30,-1.03,"0.313",""
"PALFAMS","(Intercept)",8.69,3.28,13.6,2.65,"0.019","*"
"PALFAMS","tp(A7)",2.77,2.05,30,1.35,"0.187",""
"PALFAMS","tp(B7)",3.13,2.05,30,1.53,"0.137",""
"PALFAMS","tp(B30)",1.25,2.05,30,0.61,"0.546",""
"PALFAMS","boundlessMean",0.01,0.05,13.6,0.1,"0.918",""
"PALFAMS","tp(A7):boundlessMean",0.01,0.03,30,0.17,"0.868",""
"PALFAMS","tp(B7):boundlessMean",-0.01,0.03,30,-0.21,"0.838",""
"PALFAMS","tp(B30):boundlessMean",0.02,0.03,30,0.67,"0.506",""
"PALFAMS","(Intercept)",4.72,3.93,13.3,1.2,"0.251",""
"PALFAMS","tp(A7)",7.36,2.38,30,3.09,"0.004","**"
"PALFAMS","tp(B7)",5.8,2.38,30,2.44,"0.021","*"
"PALFAMS","tp(B30)",5.48,2.38,30,2.3,"0.029","*"
"PALFAMS","anxiousEgoMean",0.15,0.12,13.3,1.16,"0.265",""
"PALFAMS","tp(A7):anxiousEgoMean",-0.14,0.08,30,-1.92,"0.064",""
"PALFAMS","tp(B7):anxiousEgoMean",-0.1,0.08,30,-1.37,"0.181",""
"PALFAMS","tp(B30):anxiousEgoMean",-0.1,0.08,30,-1.34,"0.191",""
"PALFAMS","(Intercept)",8.19,4.81,13.5,1.7,"0.112",""
"PALFAMS","tp(A7)",-3.6,2.96,30,-1.21,"0.234",""
"PALFAMS","tp(B7)",-2.12,2.96,30,-0.71,"0.481",""
"PALFAMS","tp(B30)",-2.12,2.96,30,-0.72,"0.479",""
"PALFAMS","visionaryMean",0.01,0.08,13.5,0.18,"0.863",""
"PALFAMS","tp(A7):visionaryMean",0.11,0.05,30,2.35,"0.026","*"
"PALFAMS","tp(B7):visionaryMean",0.08,0.05,30,1.71,"0.098",""
"PALFAMS","tp(B30):visionaryMean",0.08,0.05,30,1.62,"0.115",""
"PALTEA","(Intercept)",30.03,12.34,11.6,2.43,"0.032","*"
"PALTEA","tp(A7)",-14.79,5.41,30,-2.74,"0.010","*"
"PALTEA","tp(B7)",-9.74,5.41,30,-1.8,"0.082",""
"PALTEA","tp(B30)",-6.91,5.41,30,-1.28,"0.211",""
"PALTEA","boundlessMean",-0.06,0.19,11.6,-0.34,"0.740",""
"PALTEA","tp(A7):boundlessMean",0.1,0.08,30,1.27,"0.213",""
"PALTEA","tp(B7):boundlessMean",0.07,0.08,30,0.8,"0.430",""
"PALTEA","tp(B30):boundlessMean",0.02,0.08,30,0.22,"0.826",""
"PALTEA","(Intercept)",36.75,14.87,11.5,2.47,"0.030","*"
"PALTEA","tp(A7)",-19.69,6.27,30,-3.14,"0.004","**"
"PALTEA","tp(B7)",-6.46,6.27,30,-1.03,"0.311",""
"PALTEA","tp(B30)",-14.01,6.27,30,-2.24,"0.033","*"
"PALTEA","anxiousEgoMean",-0.36,0.47,11.5,-0.75,"0.466",""
"PALTEA","tp(A7):anxiousEgoMean",0.38,0.2,30,1.89,"0.068",""
"PALTEA","tp(B7):anxiousEgoMean",0.02,0.2,30,0.11,"0.915",""
"PALTEA","tp(B30):anxiousEgoMean",0.28,0.2,30,1.4,"0.173",""
"PALTEA","(Intercept)",39.64,18.89,11.8,2.1,"0.058",""
"PALTEA","tp(A7)",-11.12,8.69,30,-1.28,"0.210",""
"PALTEA","tp(B7)",-8.39,8.69,30,-0.97,"0.342",""
"PALTEA","tp(B30)",-6.53,8.69,30,-0.75,"0.458",""
"PALTEA","visionaryMean",-0.23,0.31,11.8,-0.74,"0.475",""
"PALTEA","tp(A7):visionaryMean",0.04,0.14,30,0.3,"0.764",""
"PALTEA","tp(B7):visionaryMean",0.04,0.14,30,0.31,"0.762",""
"PALTEA","tp(B30):visionaryMean",0.01,0.14,30,0.08,"0.934",""
"RTIFMDMT","(Intercept)",281.19,64.82,18.1,4.34,"<0.001","***"
"RTIFMDMT","tp(A7)",3.87,55.28,30,0.07,"0.945",""
"RTIFMDMT","tp(B7)",-15.37,55.28,30,-0.28,"0.783",""
"RTIFMDMT","tp(B30)",-34.68,55.28,30,-0.63,"0.535",""
"RTIFMDMT","boundlessMean",1.27,0.97,18.1,1.3,"0.210",""
"RTIFMDMT","tp(A7):boundlessMean",0.38,0.83,30,0.46,"0.650",""
"RTIFMDMT","tp(B7):boundlessMean",0.34,0.83,30,0.4,"0.690",""
"RTIFMDMT","tp(B30):boundlessMean",0.94,0.83,30,1.13,"0.269",""
"RTIFMDMT","(Intercept)",339.72,88.18,15.9,3.85,"0.001","**"
"RTIFMDMT","tp(A7)",8.69,67.21,30,0.13,"0.898",""
"RTIFMDMT","tp(B7)",-46.05,67.21,30,-0.69,"0.498",""
"RTIFMDMT","tp(B30)",-46.56,67.21,30,-0.69,"0.494",""
"RTIFMDMT","anxiousEgoMean",0.59,2.8,15.9,0.21,"0.835",""
"RTIFMDMT","tp(A7):anxiousEgoMean",0.61,2.13,30,0.29,"0.776",""
"RTIFMDMT","tp(B7):anxiousEgoMean",1.72,2.13,30,0.81,"0.425",""
"RTIFMDMT","tp(B30):anxiousEgoMean",2.31,2.13,30,1.08,"0.288",""
"RTIFMDMT","(Intercept)",306.16,115.19,15.9,2.66,"0.017","*"
"RTIFMDMT","tp(A7)",74,87.53,30,0.85,"0.405",""
"RTIFMDMT","tp(B7)",41.86,87.53,30,0.48,"0.636",""
"RTIFMDMT","tp(B30)",40.58,87.53,30,0.46,"0.646",""
"RTIFMDMT","visionaryMean",0.88,1.9,15.9,0.46,"0.651",""
"RTIFMDMT","tp(A7):visionaryMean",-0.81,1.44,30,-0.56,"0.579",""
"RTIFMDMT","tp(B7):visionaryMean",-0.64,1.44,30,-0.44,"0.662",""
"RTIFMDMT","tp(B30):visionaryMean",-0.33,1.44,30,-0.23,"0.822",""
"RTIFMDRT","(Intercept)",318.11,38.92,14.1,8.17,"<0.001","***"
"RTIFMDRT","tp(A7)",-25.63,25.61,30,-1,"0.325",""
"RTIFMDRT","tp(B7)",-1.33,25.61,30,-0.05,"0.959",""
"RTIFMDRT","tp(B30)",11.09,25.61,30,0.43,"0.668",""
"RTIFMDRT","boundlessMean",1.11,0.58,14.1,1.9,"0.078",""
"RTIFMDRT","tp(A7):boundlessMean",0.37,0.38,30,0.96,"0.343",""
"RTIFMDRT","tp(B7):boundlessMean",0,0.38,30,0,"1.000",""
"RTIFMDRT","tp(B30):boundlessMean",-0.5,0.38,30,-1.31,"0.200",""
"RTIFMDRT","(Intercept)",335.06,53.15,13.6,6.3,"<0.001","***"
"RTIFMDRT","tp(A7)",-5.34,33.21,30,-0.16,"0.873",""
"RTIFMDRT","tp(B7)",-6.42,33.21,30,-0.19,"0.848",""
"RTIFMDRT","tp(B30)",4.74,33.21,30,0.14,"0.887",""
"RTIFMDRT","anxiousEgoMean",1.69,1.68,13.6,1,"0.333",""
"RTIFMDRT","tp(A7):anxiousEgoMean",0.07,1.05,30,0.06,"0.950",""
"RTIFMDRT","tp(B7):anxiousEgoMean",0.17,1.05,30,0.16,"0.871",""
"RTIFMDRT","tp(B30):anxiousEgoMean",-0.81,1.05,30,-0.77,"0.448",""
"RTIFMDRT","(Intercept)",389.74,70.76,13.3,5.51,"<0.001","***"
"RTIFMDRT","tp(A7)",-31.18,42.77,30,-0.73,"0.472",""
"RTIFMDRT","tp(B7)",-31.84,42.77,30,-0.74,"0.462",""
"RTIFMDRT","tp(B30)",-32.1,42.77,30,-0.75,"0.459",""
"RTIFMDRT","visionaryMean",-0.08,1.17,13.3,-0.07,"0.944",""
"RTIFMDRT","tp(A7):visionaryMean",0.48,0.71,30,0.68,"0.504",""
"RTIFMDRT","tp(B7):visionaryMean",0.52,0.71,30,0.74,"0.464",""
"RTIFMDRT","tp(B30):visionaryMean",0.22,0.71,30,0.31,"0.755",""
"RTISMDMT","(Intercept)",241.93,68.14,15.1,3.55,"0.003","**"
"RTISMDMT","tp(A7)",-0.54,49.64,29,-0.01,"0.991",""
"RTISMDMT","tp(B7)",-20.43,49.59,29,-0.41,"0.683",""
"RTISMDMT","tp(B30)",-30.94,49.59,29,-0.62,"0.538",""
"RTISMDMT","boundlessMean",1.08,1.02,15.1,1.05,"0.308",""
"RTISMDMT","tp(A7):boundlessMean",0.83,0.75,29,1.11,"0.277",""
"RTISMDMT","tp(B7):boundlessMean",0.75,0.75,29,1.01,"0.322",""
"RTISMDMT","tp(B30):boundlessMean",1.37,0.75,29,1.84,"0.076",""
"RTISMDMT","(Intercept)",298.03,94.06,14,3.17,"0.007","**"
"RTISMDMT","tp(A7)",13.98,63,29,0.22,"0.826",""
"RTISMDMT","tp(B7)",-19.93,61.78,29,-0.32,"0.749",""
"RTISMDMT","tp(B30)",-30.43,61.78,29,-0.49,"0.626",""
"RTISMDMT","anxiousEgoMean",0.3,2.98,14,0.1,"0.922",""
"RTISMDMT","tp(A7):anxiousEgoMean",1.19,2.05,29.1,0.58,"0.566",""
"RTISMDMT","tp(B7):anxiousEgoMean",1.51,1.96,29,0.77,"0.447",""
"RTISMDMT","tp(B30):anxiousEgoMean",2.77,1.96,29,1.42,"0.167",""
"RTISMDMT","(Intercept)",287.65,122.96,14,2.34,"0.035","*"
"RTISMDMT","tp(A7)",100.45,87.89,29.1,1.14,"0.262",""
"RTISMDMT","tp(B7)",76.18,80.94,29,0.94,"0.354",""
"RTISMDMT","tp(B30)",81.16,80.94,29,1,"0.324",""
"RTISMDMT","visionaryMean",0.33,2.03,14,0.16,"0.874",""
"RTISMDMT","tp(A7):visionaryMean",-0.86,1.42,29.1,-0.61,"0.547",""
"RTISMDMT","tp(B7):visionaryMean",-0.88,1.33,29,-0.66,"0.513",""
"RTISMDMT","tp(B30):visionaryMean",-0.51,1.33,29,-0.38,"0.705",""
"RTISMDRT","(Intercept)",263.07,39.97,13,6.58,"<0.001","***"
"RTISMDRT","tp(A7)",-1.33,23.17,29,-0.06,"0.955",""
"RTISMDRT","tp(B7)",-11.63,23.15,29,-0.5,"0.619",""
"RTISMDRT","tp(B30)",9.18,23.15,29,0.4,"0.695",""
"RTISMDRT","boundlessMean",1.31,0.6,13,2.18,"0.048","*"
"RTISMDRT","tp(A7):boundlessMean",-0.01,0.35,29,-0.03,"0.974",""
"RTISMDRT","tp(B7):boundlessMean",0.1,0.35,29,0.3,"0.768",""
"RTISMDRT","tp(B30):boundlessMean",-0.32,0.35,29,-0.92,"0.364",""
"RTISMDRT","(Intercept)",293.25,55.54,12.3,5.28,"<0.001","***"
"RTISMDRT","tp(A7)",-10.67,29.3,29,-0.36,"0.718",""
"RTISMDRT","tp(B7)",-20.86,28.73,29,-0.73,"0.474",""
"RTISMDRT","tp(B30)",-7.95,28.73,29,-0.28,"0.784",""
"RTISMDRT","anxiousEgoMean",1.64,1.76,12.3,0.93,"0.369",""
"RTISMDRT","tp(A7):anxiousEgoMean",0.3,0.95,29.1,0.32,"0.754",""
"RTISMDRT","tp(B7):anxiousEgoMean",0.52,0.91,29,0.57,"0.570",""
"RTISMDRT","tp(B30):anxiousEgoMean",-0.07,0.91,29,-0.08,"0.937",""
"RTISMDRT","(Intercept)",307.99,74.48,12,4.13,"0.001","**"
"RTISMDRT","tp(A7)",13.54,39.7,29.1,0.34,"0.736",""
"RTISMDRT","tp(B7)",28.36,36.53,29,0.78,"0.444",""
"RTISMDRT","tp(B30)",3.98,36.53,29,0.11,"0.914",""
"RTISMDRT","visionaryMean",0.58,1.23,12,0.47,"0.646",""
"RTISMDRT","tp(A7):visionaryMean",-0.27,0.64,29.1,-0.42,"0.679",""
"RTISMDRT","tp(B7):visionaryMean",-0.58,0.6,29,-0.96,"0.344",""
"RTISMDRT","tp(B30):visionaryMean",-0.24,0.6,29,-0.4,"0.692",""
"SWMBE12","(Intercept)",32.84,7.46,27.6,4.4,"<0.001","***"
"SWMBE12","tp(A7)",-5.03,8.26,30,-0.61,"0.547",""
"SWMBE12","tp(B7)",-10.02,8.26,30,-1.21,"0.234",""
"SWMBE12","tp(B30)",-2.86,8.26,30,-0.35,"0.732",""
"SWMBE12","boundlessMean",0.02,0.11,27.6,0.2,"0.846",""
"SWMBE12","tp(A7):boundlessMean",0.02,0.12,30,0.14,"0.891",""
"SWMBE12","tp(B7):boundlessMean",0.09,0.12,30,0.76,"0.451",""
"SWMBE12","tp(B30):boundlessMean",0,0.12,30,0.01,"0.988",""
"SWMBE12","(Intercept)",39.6,8.88,25.2,4.46,"<0.001","***"
"SWMBE12","tp(A7)",-15.76,9.38,30,-1.68,"0.103",""
"SWMBE12","tp(B7)",-21.49,9.38,30,-2.29,"0.029","*"
"SWMBE12","tp(B30)",-3.69,9.38,30,-0.39,"0.697",""
"SWMBE12","anxiousEgoMean",-0.18,0.28,25.2,-0.65,"0.519",""
"SWMBE12","tp(A7):anxiousEgoMean",0.4,0.3,30,1.34,"0.190",""
"SWMBE12","tp(B7):anxiousEgoMean",0.58,0.3,30,1.96,"0.060",""
"SWMBE12","tp(B30):anxiousEgoMean",0.03,0.3,30,0.11,"0.915",""
"SWMBE12","(Intercept)",39.98,11.58,28.1,3.45,"0.002","**"
"SWMBE12","tp(A7)",-3.08,12.93,30,-0.24,"0.813",""
"SWMBE12","tp(B7)",-8.06,12.93,30,-0.62,"0.538",""
"SWMBE12","tp(B30)",2.64,12.93,30,0.2,"0.840",""
"SWMBE12","visionaryMean",-0.1,0.19,28.1,-0.52,"0.605",""
"SWMBE12","tp(A7):visionaryMean",-0.02,0.21,30,-0.07,"0.942",""
"SWMBE12","tp(B7):visionaryMean",0.06,0.21,30,0.3,"0.766",""
"SWMBE12","tp(B30):visionaryMean",-0.09,0.21,30,-0.43,"0.668",""
"SWMBE4","(Intercept)",2.33,0.74,28.2,3.13,"0.004","**"
"SWMBE4","tp(A7)",-1.76,0.83,30,-2.11,"0.043","*"
"SWMBE4","tp(B7)",-2.16,0.83,30,-2.6,"0.014","*"
"SWMBE4","tp(B30)",-2.19,0.83,30,-2.63,"0.013","*"
"SWMBE4","boundlessMean",-0.01,0.01,28.2,-0.74,"0.466",""
"SWMBE4","tp(A7):boundlessMean",0.01,0.01,30,0.9,"0.376",""
"SWMBE4","tp(B7):boundlessMean",0.01,0.01,30,0.66,"0.515",""
"SWMBE4","tp(B30):boundlessMean",0.01,0.01,30,0.92,"0.365",""
"SWMBE4","(Intercept)",2.59,0.88,26.5,2.94,"0.007","**"
"SWMBE4","tp(A7)",-1.55,0.95,30,-1.62,"0.115",""
"SWMBE4","tp(B7)",-3.1,0.95,30,-3.25,"0.003","**"
"SWMBE4","tp(B30)",-3.26,0.95,30,-3.42,"0.002","**"
"SWMBE4","anxiousEgoMean",-0.03,0.03,26.5,-0.92,"0.365",""
"SWMBE4","tp(A7):anxiousEgoMean",0.02,0.03,30,0.52,"0.605",""
"SWMBE4","tp(B7):anxiousEgoMean",0.05,0.03,30,1.61,"0.118",""
"SWMBE4","tp(B30):anxiousEgoMean",0.06,0.03,30,1.97,"0.058",""
"SWMBE4","(Intercept)",3.65,1.12,29,3.24,"0.003","**"
"SWMBE4","tp(A7)",-2.73,1.28,30,-2.14,"0.040","*"
"SWMBE4","tp(B7)",-3.08,1.28,30,-2.41,"0.022","*"
"SWMBE4","tp(B30)",-2.68,1.28,30,-2.1,"0.044","*"
"SWMBE4","visionaryMean",-0.03,0.02,29,-1.68,"0.104",""
"SWMBE4","tp(A7):visionaryMean",0.03,0.02,30,1.35,"0.189",""
"SWMBE4","tp(B7):visionaryMean",0.02,0.02,30,1.15,"0.260",""
"SWMBE4","tp(B30):visionaryMean",0.02,0.02,30,0.96,"0.345",""
"SWMBE468","(Intercept)",21.24,5.75,17,3.69,"0.002","**"
